2022-05-20 00:05:11.256 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 00:05:13.922 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 00:21:44.086 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 00:21:45.903 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 00:39:03.834 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 00:39:06.516 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 00:39:07.549 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 00:54:43.392 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 01:11:23.769 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 01:11:25.041 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 01:11:28.016 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 01:27:54.877 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 01:27:57.512 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 01:43:45.616 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 01:59:35.118 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 01:59:37.411 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 02:15:04.838 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 02:15:08.056 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 02:31:36.760 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 02:47:00.374 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 03:02:21.971 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 03:02:24.237 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 03:18:13.792 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 03:18:15.968 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 03:35:41.370 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 03:35:43.668 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 03:53:06.017 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 04:09:07.433 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 04:09:08.722 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 04:09:10.424 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 04:24:13.120 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 04:24:17.260 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 04:41:07.644 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 04:57:04.160 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 04:57:06.141 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 05:13:53.579 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 05:13:57.328 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 05:30:05.896 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 05:30:09.114 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 05:47:37.967 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 05:47:42.442 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 06:03:16.814 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 06:03:19.582 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 06:18:29.600 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 06:35:11.717 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 06:35:14.110 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 06:35:16.535 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 06:51:43.583 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 07:09:12.570 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 07:09:13.736 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 07:26:44.839 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 07:26:48.972 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 07:44:19.164 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 07:44:21.423 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 07:59:55.186 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 08:15:09.938 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 08:15:12.307 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 08:31:47.597 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 08:31:52.202 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 08:48:34.437 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:05:50.939 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:23:43.649 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:23:44.809 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:23:47.437 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:30:45.784 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:30:47.040 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:30:48.390 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:30:49.960 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:30:54.542 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:30:57.834 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:31:02.645 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:31:04.090 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:31:07.984 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:31:09.854 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:31:14.474 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:31:15.862 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-20 09:31:17.594 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
