2022-05-19 00:11:33.422 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 00:11:37.693 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 00:28:34.318 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 00:28:38.395 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 00:45:08.862 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 00:45:11.625 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 00:45:13.393 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 01:01:57.522 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 01:19:11.802 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 01:36:12.238 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 01:36:15.408 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 01:52:53.148 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 01:52:54.693 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 02:10:16.529 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 02:10:18.692 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 02:26:49.921 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 02:26:54.732 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 02:43:08.292 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 02:58:41.228 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 03:15:45.525 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 03:15:46.632 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 03:15:50.050 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 03:31:10.964 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 03:31:13.594 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 03:49:04.794 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 04:06:51.008 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 04:06:52.343 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 04:06:53.670 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 04:23:11.429 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 04:40:40.539 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 04:40:44.393 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 04:56:53.705 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 04:56:55.001 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:00:12.499 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:00:14.011 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:00:15.234 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:00:17.490 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:00:18.699 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:00:22.764 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:00:24.873 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:00:26.423 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:00:31.306 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:01:23.610 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:01:26.156 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:01:28.613 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:01:32.777 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:01:35.988 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:01:38.932 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:01:40.849 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:06:27.798 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:06:29.927 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:06:33.431 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:06:35.146 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:06:38.643 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:06:41.398 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:06:45.576 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:06:48.910 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:23:22.372 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:23:23.442 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:23:24.801 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:38:23.839 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:38:27.626 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 05:56:04.088 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 06:13:24.714 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 06:13:28.799 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 06:30:45.158 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 06:46:57.985 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 06:47:01.689 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 06:47:02.934 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 07:03:00.502 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 07:18:17.096 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 07:18:20.149 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 07:35:09.084 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 07:35:11.715 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 07:52:27.796 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:06:25.336 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:06:28.178 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:06:33.024 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:06:35.934 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:06:40.038 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:06:44.295 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:21:58.315 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:02.609 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:03.908 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:08.343 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:10.486 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:12.073 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:16.441 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:19.507 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:21.670 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:24.627 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:25.880 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:30.803 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:31.898 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:35.638 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:37.546 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:40.251 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:22:44.157 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:30:25.542 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:30:27.724 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:30:32.089 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:30:36.795 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:30:40.010 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:30:41.098 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:30:42.353 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:30:46.458 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:30:50.815 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:30:53.372 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:30:58.226 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:02.582 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:07.242 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:10.100 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:13.051 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:16.621 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:18.290 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:19.753 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:21.084 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:25.037 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:29.807 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:31.435 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:33.231 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:37.214 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:39.063 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:42.106 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:43.325 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:47.871 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:50.563 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:55.119 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-19 08:31:56.157 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
