2022-05-18 00:15:23.803 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 00:15:26.439 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 00:31:36.694 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 00:31:38.071 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 00:46:37.495 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 00:46:41.019 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 01:01:59.535 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 01:02:04.270 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 01:18:09.849 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 01:35:27.135 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 01:35:30.056 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 01:51:58.723 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 01:52:02.252 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 02:07:20.241 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 02:24:10.451 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 02:24:12.368 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 02:41:04.485 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 02:41:07.182 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 02:41:08.898 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 02:56:22.689 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 03:13:31.897 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 03:13:35.089 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 03:29:03.402 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 03:45:21.305 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 03:45:25.027 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 04:02:46.344 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 04:02:49.252 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 04:18:10.196 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 04:18:14.719 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 04:34:44.625 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 04:34:47.350 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 04:52:31.583 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 04:52:35.731 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 05:00:12.874 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 05:00:14.674 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 05:00:19.127 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 05:00:21.723 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 05:00:26.239 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 05:00:28.702 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 05:01:12.989 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 05:01:15.393 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 05:01:16.853 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 05:01:18.399 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 05:01:20.863 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 05:01:24.957 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 05:01:26.043 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-18 05:16:55.693 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
