2022-05-21 05:23:45.464 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 05:39:37.958 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 05:55:04.667 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 05:55:08.239 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 06:12:19.762 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 06:12:23.353 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 06:30:04.803 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 06:30:07.658 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 06:47:11.161 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 06:47:12.833 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 06:47:14.189 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 07:02:58.820 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 07:03:01.948 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 07:19:28.362 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 07:37:17.598 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 07:37:19.304 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 07:53:44.708 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 07:53:48.310 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 08:09:16.560 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 08:25:55.504 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 08:41:09.252 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 08:41:11.213 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 08:41:13.640 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 08:57:22.939 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 09:13:37.041 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 09:31:36.063 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 09:31:38.312 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 09:48:45.646 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 09:48:47.998 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 10:05:23.098 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 10:22:45.608 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 10:37:45.817 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 10:54:18.602 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 10:54:20.247 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 10:54:22.512 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:09.069 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:11.072 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:13.663 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:15.093 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:16.611 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:18.650 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:22.961 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:25.772 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:26.853 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:30.304 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:35.199 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:38.483 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:42.312 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:45.462 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:47.775 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:52.168 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:54.746 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:06:57.786 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:07:00.029 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:07:03.356 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:07:07.215 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:07:11.382 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:07:15.232 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:07:20.175 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:07:22.197 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 11:07:25.486 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
