2022-05-31 17:07:49.075 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:08:01.228 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:08:13.219 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:08:25.711 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:08:37.901 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:08:51.131 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:09:03.046 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:09:15.180 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:09:27.260 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:09:39.508 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:09:51.512 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:10:03.500 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:10:15.198 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:10:27.117 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:10:39.486 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:10:52.068 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:11:04.127 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:11:16.040 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:11:27.884 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:11:40.234 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:11:52.850 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:12:05.020 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:12:17.116 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:12:29.723 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:12:41.991 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:12:54.188 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:13:06.709 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:13:18.944 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:13:31.215 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:13:44.089 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:13:55.992 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:14:08.809 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:14:20.948 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:14:33.725 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:14:45.703 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:14:58.429 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:15:11.698 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:15:24.234 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:15:36.331 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:15:48.625 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:16:01.749 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:16:14.270 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:16:14.847 | consumer1.py 91 | WARNING | 已连接， Waiting for queue: [ queue_scan_result ] routing_key: [ topic_scan_result ]
2022-05-31 17:24:16.977 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:24:17.482 | consumer1.py 91 | WARNING | 已连接， Waiting for queue: [ queue_scan_result ] routing_key: [ topic_scan_result ]
2022-05-31 17:32:45.060 | consumer1.py 52 | INFO | Received new message from - topic_scan_result
2022-05-31 17:32:45.083 | consumer1.py 54 | WARNING | Received '{"task_id": "6db6d912-255d-4068-bba1-7df7cd0905dc", "status": 1, "msg": "扫描完成", "data": {"scan_time": "2022-05-31 17:32:39", "target": "39.105.143.157", "assets": [], "assetinfo": {"http": [], "weakpass": [], "vul": []}}, "finished": true}'
2022-05-31 17:32:45.087 | consumer1.py 59 | WARNING | Saving to DB
2022-05-31 17:32:45.226 | consumer1.py 75 | WARNING | No such attack
