2022-06-01 09:02:54.144 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:03:05.812 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:03:17.684 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:03:29.120 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:03:40.595 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:03:52.304 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:04:04.063 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:04:15.540 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:04:27.121 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:04:38.620 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:04:51.089 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:05:02.798 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:05:14.580 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:05:26.060 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:05:37.733 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:05:49.232 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:06:00.845 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:06:12.286 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:06:23.738 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:06:35.236 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:06:46.688 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:06:58.513 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:07:10.337 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:07:22.108 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:07:33.825 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:07:45.334 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:07:57.008 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:08:08.638 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:08:20.077 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:08:31.773 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:08:43.285 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:08:54.972 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:09:06.498 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:09:18.197 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:09:30.025 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:09:41.659 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:09:53.796 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:10:05.807 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:10:17.780 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:10:29.560 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:10:40.925 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:10:52.529 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:11:04.682 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:11:16.330 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:11:28.032 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:11:39.524 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:11:50.998 | consumer1.py 102 | INFO | consumer1 start
2022-06-01 09:12:02.849 | consumer1.py 102 | INFO | consumer1 start
